Station,LOCATION_DESCRIPTION,LOCATION_MEMO,CountyName,EcoregionName,Subbasin,airshedName,BEGINNING_DATE,ENDING_DATE,Results,Decimal_Lat,Decimal_long,CONGRESSDI,HUCNUM,STATIONTYPE,WELLTYPE,EXTERNAL_SYSTEM_STATION
24989,Foley Creek at Vermileyea Road (Nehalem),,TILLAMOOK,Coast Range,NEHALEM,,6/10/1998,9/15/2000 13:00,6767,45.6407,-123.8707,,1.71002E+11,StreamorRiver,,
33050,Foley Creek above Crystal Creek (Nehalem),,TILLAMOOK,Coast Range,NEHALEM,,6/10/1998,9/17/1998 23:30,4800,45.661,-123.8408,5,1.71002E+11,StreamorRiver,,
24962,"Cook Creek, Upper (Nehalem)",,TILLAMOOK,Coast Range,NEHALEM,,6/27/2000 16:00,9/15/2000 15:00,1920,45.6895,-123.656,5,1.71002E+11,StreamorRiver,,
24959,"Cook Creek, unnamed tributary (Nehalem) ",,TILLAMOOK,Coast Range,NEHALEM,,6/27/2000 16:00,9/15/2000 15:00,1920,45.6896,-123.6573,5,1.71002E+11,StreamorRiver,,
13295,Nehalem Bay at Wheeler,/TYPA/AMBNT/ESTURY/NET/BACK  Previous Name:Nehalem Bay at Wheeler,N/A,N/A,NEHALEM,,5/21/1998,9/20/1998 23:30,5904,45.6916,-123.8821,5,1.71002E+11,Estuary,,
20440,Foley Creek at Lommen Road,STREAM/AMBNT,TILLAMOOK,Coast Range,NEHALEM,,5/21/1998,9/22/2001 13:00,9602,45.6953,-123.8456,,1.71002E+11,StreamorRiver,,
29291,"Cook Creek at mouth, tributary to Nehalem at River Mile 13.3",,TILLAMOOK,Coast Range,NEHALEM,,5/21/1998,9/28/2001 12:00,7824,45.7042,-123.7539,,1.71002E+11,StreamorRiver,,
24977,"Roy Creek, about 0.25 miles upstream of Foss Road (Nehalem)",,TILLAMOOK,Coast Range,NEHALEM,,6/27/2000 16:59,9/15/2000 13:59,1918,45.7053,-123.8375,,1.71002E+11,StreamorRiver,,
23508,Nehalem River at Hwy 53 and Foss Road (Mohler),,TILLAMOOK,Coast Range,NEHALEM,,7/14/2000 10:59,9/15/2000 7:59,1510,45.7092,-123.8574,,1.71002E+11,StreamorRiver,,
33056,Anderson Creek near mouth (North Fork Nehalem),Nehalem WSC site,TILLAMOOK,Coast Range,NEHALEM,,7/4/2001 12:00,9/28/2001 15:00,2068,45.7131,-123.8734,5,1.71002E+11,StreamorRiver,,
32751,Nehalem River at Camp Nehalem (above Lost Creek),Lower Nehalem Watershed Council site LLID: 1238951456889,TILLAMOOK,Coast Range,NEHALEM,,7/4/2001 12:00,10/5/2002 13:00,3000,45.7133,-123.7631,5,1.71002E+11,StreamorRiver,,
24970,Lost Creek at mouth (Nehalem),,TILLAMOOK,Coast Range,NEHALEM,,6/27/2000 16:59,9/28/2001 16:00,4009,45.7134,-123.7626,,1.71002E+11,StreamorRiver,,
23592,South Fork Nehalem River at Cochran Road,,TILLAMOOK,Coast Range,NEHALEM,,7/18/2000 19:00,9/17/2000 12:00,1458,45.7135,-123.391,5,1.71002E+11,StreamorRiver,,
32976,Nehalem River below South Fork at Cochran Road,Nehalem Watershed Council site,TILLAMOOK,Coast Range,NEHALEM,,6/20/1999 12:00,9/23/2002 13:36,9008,45.7137,-123.3922,5,1.71002E+11,StreamorRiver,,
23636,Salmonberry River upstream off North Fork Salmonberrry River,,TILLAMOOK,Coast Range,NEHALEM,,5/7/2003 18:47,9/17/2003 16:47,3191,45.714,-123.5456,,1.71002E+11,StreamorRiver,,
12818,North Fork Salmonberry River at mouth,/TYPA/AMBNT/STREAM/NONPNT/BIO,TILLAMOOK,Coast Range,NEHALEM,,5/7/2003 18:46,9/17/2003 17:46,3192,45.7174,-123.5226,,1.71002E+11,StreamorRiver,,
24974,Nehalem R N FK DS of McDonald BR (Nehalem),  Previous Name:North Fork Nehalem River downstream of McDonald Bridge (Nehalem),N/A,Coast Range,NEHALEM,,7/14/2000 10:59,9/15/2000 7:59,1510,45.7329,-123.8768,5,1.71002E+11,StreamorRiver,,
12866,North Fork Nehalem River at Mcdonald Road Bridge,/TYPA/AMBNT/STREAM,N/A,Coast Range,NEHALEM,,5/21/1998,10/2/2002 14:00,7801,45.7333,-123.8744,5,1.71002E+11,StreamorRiver,,
23638,Salmonberry River at Cochran Road,,TILLAMOOK,Coast Range,NEHALEM,,7/25/2001 19:00,9/17/2003 18:46,7219,45.7439,-123.4434,5,1.71002E+11,StreamorRiver,,
11849,Salmonberry River at mouth,/TYPA/AMBNT/STREAM/NONPNT/BIO,TILLAMOOK,Coast Range,NEHALEM,,5/21/1998,10/6/2003 15:52,11569,45.7504,-123.6518,,1.71002E+11,StreamorRiver,,
23274,Lousignont Creek at Timber Road Bridge 1390,,WASHINGTON,Coast Range,NEHALEM,,7/25/2001 19:00,9/23/2002 13:58,4151,45.7521,-123.2954,,1.71002E+11,StreamorRiver,,
29292,Nehalem River at Salmonberry River,Nehalem WSC site Lat/Long 45.7507/-123.6529 at railroad crossing just upstream of Salmonberry,TILLAMOOK,Coast Range,NEHALEM,,7/16/1998 1:00,9/22/2001 13:00,5615,45.7522,-123.655,,1.71002E+11,StreamorRiver,,
32974,Coal Creek at River Mile 1.5 (North Fork Nehalem),"Lower Nehalem WSC station
",TILLAMOOK,Coast Range,NEHALEM,,7/11/2002 14:00,10/18/2002 12:00,2375,45.7549,-123.8648,5,1.71002E+11,StreamorRiver,,
23275,Wolf Creek at Hwy 26,,WASHINGTON,Coast Range,NEHALEM,,7/25/2001 19:00,9/23/2002 11:20,4145,45.7618,-123.2962,,1.71002E+11,StreamorRiver,,
24985,"West Fork Coal Creek end of Anderson Road, upstream of bridge",,TILLAMOOK,Coast Range,NEHALEM,,6/27/2000 10:00,9/15/2000 10:59,1922,45.7627,-123.8669,5,1.71002E+11,StreamorRiver,,
24979,"Coal Creek, about 0.25 miles upstream of North Fork Road (North Fork Nehalem, Nehalem)",,TILLAMOOK,Coast Range,NEHALEM,,6/27/2000 10:59,9/15/2000 10:00,1920,45.7631,-123.8641,,1.71002E+11,StreamorRiver,,
11428,North Fork Nehalem River at Alderdale,/TYPA/AMBNT/STREAM,TILLAMOOK,Coast Range,NEHALEM,,5/21/1998,9/22/2001 10:00,7681,45.7684,-123.8431,,1.71002E+11,StreamorRiver,,
29300,"Cronin Creek at Foss Road, tributary to Nehalem River at River Mile 24.4",Nehalem WSC site.  Improved Lat/Long 45.7712/-123.6333,TILLAMOOK,Coast Range,NEHALEM,,7/4/2001 13:00,9/22/2001 12:00,1920,45.7697,-123.6339,,1.71002E+11,StreamorRiver,,
24984,South Fork Rock Creek at headwaters (Nehalem),,CLATSOP,Coast Range,NEHALEM,,6/21/1999,10/6/2003 14:54,10870,45.7804,-123.4428,,1.71002E+11,StreamorRiver,,
11829,North Fork Nehalem River at Rivermile 6.2,/TYPA/AMBNT/STREAM/SOLIDS/BASSAY,CLATSOP,Coast Range,NEHALEM,,7/11/2002 15:00,10/2/2002 15:00,1993,45.7853,-123.8209,1,1.71002E+11,StreamorRiver,,
12867,North Fork Nehalem River at Lagler Property,/TYPA/AMBNT/STREAM,CLATSOP,Coast Range,NEHALEM,,5/21/1998,9/18/1998 23:30,5808,45.7856,-123.8306,,1.71002E+11,StreamorRiver,,
23589,"South Fork Rock Creek at Hwy 26 (Nehalem tributary, River Mile 90.7)",,CLATSOP,Coast Range,NEHALEM,,6/26/2002 12:46,9/21/2002 17:46,2094,45.7938,-123.4572,1,1.71002E+11,StreamorRiver,,
33037,Duplicate station.  Data can be found under station 29290,,CLATSOP,Coast Range,NEHALEM,,5/21/1998,9/17/1998 23:30,5760,45.7972,-123.8163,1,1.71002E+11,StreamorRiver,,
32713,Clear Creek above South Prong Creek (Nehalem River),Upper Nehalem Watershed Council site Clear Creek at Berkholtz property LLID: 1232841458052,COLUMBIA,Coast Range,NEHALEM,,6/25/2002 17:00,10/6/2003 16:27,5804,45.799,-123.3004,1,1.71002E+11,StreamorRiver,,
